part,severity,damage_type,coverage_percent,cost
front_light,minor,glass shatter,17.08,4012
front_door,minor,crack,7.03,5093
front_light,minor,dent,2.26,1705
back_glass,minor,dent,3.79,5687
front_light,moderate,lamp broken,11.06,5592
front_door,moderate,scratch,8.83,2658
front_glass,minor,scratch,6.3,3033
front_light,moderate,dent,4.48,3197
front_light,minor,scratch,4.27,805
front_door,minor,crack,4.05,5126
back_bumper,minor,crack,21.44,3346
back_glass,minor,crack,8.08,5729
back_glass,severe,lamp broken,21.52,23118
hood,moderate,glass shatter,6.19,20599
front_light,minor,crack,11.27,2388
back_light,minor,crack,6.34,1971
back_glass,moderate,lamp broken,11.03,13572
front_light,moderate,tire flat,1.81,2202
front_light,moderate,tire flat,11.86,2118
hood,moderate,dent,10.76,7621
front_door,minor,crack,24.97,4598
front_bumper,moderate,scratch,21.59,2446
back_bumper,minor,glass shatter,4.33,6921
back_glass,moderate,crack,17.89,9495
back_door,moderate,glass shatter,8.99,13900
front_glass,moderate,crack,15.7,14984
back_light,minor,tire flat,22.14,1283
back_bumper,severe,lamp broken,17.19,14341
back_door,minor,glass shatter,15.86,9581
back_glass,moderate,tire flat,2.61,6974
back_light,severe,scratch,6.73,1511
front_light,severe,tire flat,14.92,4216
back_light,moderate,tire flat,8.69,2098
hood,minor,tire flat,2.31,3581
front_light,minor,glass shatter,20.91,4669
hood,moderate,tire flat,22.59,6725
front_door,severe,tire flat,20.41,10042
back_door,moderate,scratch,11.99,2491
back_glass,severe,crack,2.85,14931
back_door,minor,tire flat,4.61,2628
back_bumper,minor,crack,17.38,3743
front_light,minor,crack,18.71,1919
back_light,minor,dent,20.25,1680
hood,minor,tire flat,14.89,4130
front_door,moderate,glass shatter,17.72,19849
front_light,minor,glass shatter,4.17,4719
back_glass,minor,crack,9.93,6025
back_bumper,minor,scratch,11.94,1064
back_glass,minor,tire flat,5.37,3619
back_glass,minor,scratch,1.99,2126
back_glass,minor,glass shatter,5.43,13379
back_bumper,minor,tire flat,9.25,1961
hood,minor,scratch,3.92,1845
front_light,severe,scratch,23.27,1986
hood,minor,lamp broken,17.93,9088
front_bumper,moderate,lamp broken,20.19,9675
front_light,moderate,crack,18.56,4147
back_glass,moderate,tire flat,8.39,6567
back_light,minor,glass shatter,8.83,3827
back_light,minor,lamp broken,19.75,2927
back_light,minor,dent,21.39,1618
back_door,minor,lamp broken,12.77,7043
hood,severe,dent,9.67,11861
front_glass,minor,crack,1.29,7839
front_bumper,moderate,glass shatter,3.1,12826
front_light,severe,tire flat,20.29,3577
front_glass,moderate,tire flat,4.35,9064
back_door,minor,scratch,12.39,1888
front_door,severe,dent,15.18,10766
back_bumper,moderate,glass shatter,7.56,10015
front_light,moderate,tire flat,22.96,2200
front_glass,moderate,crack,2.01,15037
front_bumper,moderate,glass shatter,12.12,10831
back_bumper,minor,scratch,23.94,1366
front_light,moderate,dent,22.42,3018
front_light,moderate,tire flat,1.68,2349
front_light,moderate,dent,9.68,2899
front_glass,moderate,crack,12.42,15257
back_door,minor,crack,14.81,5223
back_glass,minor,lamp broken,8.67,10308
back_glass,minor,crack,7.54,6200
front_door,minor,dent,13.71,4688
hood,moderate,scratch,5.4,3171
back_glass,minor,lamp broken,8.59,10214
front_bumper,moderate,crack,17.52,5435
front_door,minor,scratch,13.44,1778
front_light,minor,glass shatter,22.86,4201
back_glass,minor,lamp broken,5.52,10202
hood,moderate,lamp broken,17.85,16602
front_glass,severe,glass shatter,3.8,41370
back_bumper,minor,glass shatter,17.59,6227
front_light,minor,lamp broken,24.28,3008
front_bumper,moderate,dent,3.85,4213
back_glass,minor,tire flat,4.01,3543
back_door,moderate,glass shatter,19.82,14842
front_light,minor,glass shatter,3.59,4711
hood,minor,lamp broken,3.85,7950
back_door,moderate,crack,19.11,8731
back_light,severe,lamp broken,5.43,6478
back_door,moderate,scratch,23.6,3385
front_door,minor,crack,13.02,5405
back_light,moderate,lamp broken,3.38,4284
back_bumper,minor,lamp broken,5.6,4283
hood,severe,dent,3.37,11751
hood,minor,tire flat,17.76,3636
back_door,moderate,scratch,24.55,2940
hood,minor,scratch,19.27,2179
front_light,minor,dent,12.9,1704
front_bumper,moderate,lamp broken,2.97,8347
front_glass,minor,crack,18.67,9405
front_light,moderate,scratch,7.97,1418
back_light,moderate,dent,20.26,2878
front_door,minor,scratch,17.18,1973
front_glass,minor,glass shatter,17.24,16472
front_glass,moderate,glass shatter,24.46,34148
back_glass,minor,dent,5.78,4700
front_glass,minor,dent,11.19,7046
front_bumper,severe,tire flat,9.55,6336
front_glass,minor,glass shatter,4.54,17213
back_door,minor,crack,6.54,5151
back_bumper,moderate,dent,20.93,4605
back_bumper,minor,scratch,17.3,1086
back_door,moderate,dent,13.48,6416
front_light,minor,scratch,12.95,790
hood,moderate,crack,13.97,8855
back_bumper,moderate,glass shatter,3.86,10708
front_glass,minor,glass shatter,1.79,17493
front_bumper,minor,tire flat,11.34,2160
front_glass,moderate,glass shatter,14.65,30426
hood,minor,tire flat,12.28,3973
back_glass,minor,lamp broken,7.32,9469
front_glass,moderate,lamp broken,19.4,20332
back_bumper,moderate,dent,4.08,4090
back_bumper,minor,tire flat,3.34,1889
front_door,minor,glass shatter,16.87,9995
front_bumper,minor,lamp broken,17.51,5954
back_door,minor,crack,13.92,4089
front_glass,minor,lamp broken,11.11,10775
front_light,minor,lamp broken,8.6,3157
front_door,minor,lamp broken,12.72,7771
back_light,minor,crack,20.47,1964
back_glass,minor,lamp broken,24.27,9112
back_door,minor,lamp broken,7.36,6270
front_glass,moderate,scratch,23.99,5888
back_door,minor,lamp broken,2.61,7082
front_light,minor,glass shatter,20.1,4899
front_bumper,moderate,lamp broken,11.39,8810
back_light,minor,glass shatter,16.0,3785
hood,moderate,scratch,16.07,3801
back_glass,minor,lamp broken,16.86,10559
front_light,severe,crack,13.79,6007
front_glass,moderate,lamp broken,2.44,18271
front_light,minor,scratch,18.91,874
front_glass,minor,glass shatter,20.93,16451
back_light,minor,glass shatter,7.89,3328
back_light,minor,glass shatter,4.6,3135
front_bumper,minor,glass shatter,24.79,7806
back_bumper,minor,scratch,4.27,1056
front_bumper,moderate,tire flat,16.46,3381
front_light,minor,dent,22.52,1755
front_bumper,severe,dent,10.77,7504
back_door,severe,glass shatter,18.38,24085
back_door,moderate,lamp broken,23.39,12041
hood,minor,crack,3.17,6040
front_door,moderate,crack,18.69,9444
back_light,minor,glass shatter,3.56,3315
front_bumper,minor,glass shatter,21.71,6859
hood,moderate,crack,3.71,9939
front_light,minor,tire flat,7.67,1459
back_glass,minor,crack,9.83,6060
back_bumper,moderate,tire flat,23.58,3828
back_light,moderate,crack,8.42,3345
front_door,minor,tire flat,21.81,3708
front_glass,severe,dent,10.43,21333
front_bumper,minor,crack,20.74,3462
back_light,severe,scratch,16.15,1977
front_glass,minor,dent,2.92,7323
front_light,moderate,glass shatter,23.24,7546
front_glass,moderate,dent,17.76,12134
front_door,moderate,glass shatter,20.52,19550
front_light,minor,tire flat,2.25,1366
front_light,minor,tire flat,10.62,1417
front_door,minor,lamp broken,4.79,7121
back_glass,moderate,lamp broken,20.02,15458
front_light,minor,tire flat,5.16,1367
front_door,minor,crack,10.95,4554
front_glass,minor,lamp broken,23.75,14910
back_light,severe,dent,5.76,4038
back_glass,minor,dent,11.29,4918
back_door,minor,crack,14.61,4070
hood,moderate,glass shatter,23.28,24623
front_light,minor,dent,5.88,1940
front_bumper,moderate,crack,10.17,5833
back_light,minor,lamp broken,20.78,2909
back_light,minor,glass shatter,20.02,3372
front_bumper,moderate,scratch,22.78,2207
front_light,minor,dent,4.2,1615
front_glass,minor,tire flat,10.2,5334
front_bumper,minor,dent,2.41,2677
back_light,severe,glass shatter,24.92,12020
back_bumper,minor,dent,15.87,2546
front_glass,minor,tire flat,24.23,5921
back_glass,minor,crack,12.83,6205
front_light,minor,scratch,18.05,792
front_bumper,minor,dent,24.48,3120
front_bumper,minor,tire flat,11.32,2553
front_bumper,moderate,lamp broken,23.24,9242
front_glass,minor,scratch,24.87,3591
back_glass,moderate,lamp broken,16.78,17472
back_bumper,minor,scratch,6.52,993
front_bumper,moderate,scratch,11.47,2492
front_light,minor,dent,24.73,1908
front_light,minor,glass shatter,18.27,4176
front_door,minor,dent,7.82,4440
hood,moderate,crack,16.92,9570
back_bumper,moderate,lamp broken,5.33,8545
back_light,moderate,glass shatter,22.3,5673
back_door,minor,glass shatter,23.3,9131
front_door,minor,scratch,12.05,1945
front_light,moderate,glass shatter,7.46,7711
front_door,moderate,dent,23.82,6891
back_glass,moderate,scratch,20.24,3825
back_bumper,minor,tire flat,23.85,2103
front_glass,minor,crack,24.16,10116
back_door,moderate,dent,4.91,6675
front_bumper,moderate,tire flat,16.7,3474
front_light,moderate,glass shatter,23.12,8860
back_glass,moderate,crack,20.97,11307
front_light,moderate,glass shatter,12.43,7687
front_glass,moderate,dent,20.46,12668
front_glass,minor,tire flat,1.97,5000
front_light,minor,tire flat,17.47,1269
front_light,moderate,lamp broken,13.59,4958
front_glass,severe,dent,12.46,16972
back_glass,severe,tire flat,21.2,11560
front_bumper,minor,lamp broken,2.84,4349
back_door,minor,lamp broken,3.27,6838
front_bumper,minor,crack,2.96,3452
back_door,moderate,tire flat,5.31,4365
front_glass,minor,dent,22.04,6973
front_light,minor,tire flat,20.39,1364
back_glass,minor,scratch,18.93,2509
back_door,minor,glass shatter,1.14,8254
back_glass,minor,tire flat,17.6,4691
front_light,moderate,crack,24.37,3658
front_glass,minor,crack,4.24,7580
back_bumper,severe,tire flat,21.62,5265
back_glass,minor,tire flat,21.21,4755
hood,minor,scratch,19.47,2069
front_glass,minor,dent,22.66,7947
front_light,minor,glass shatter,21.64,4842
back_light,moderate,crack,21.01,2720
back_bumper,moderate,dent,18.11,5184
front_light,moderate,tire flat,18.55,2707
back_bumper,minor,glass shatter,13.32,7268
front_light,moderate,scratch,13.68,1290
front_door,minor,lamp broken,22.43,7512
front_light,minor,dent,23.54,1781
front_glass,minor,dent,18.43,7224
front_light,minor,scratch,15.1,840
front_light,moderate,scratch,18.35,1306
front_glass,moderate,tire flat,9.65,8996
back_glass,minor,lamp broken,17.58,8514
front_light,minor,scratch,4.75,757
front_glass,minor,glass shatter,6.03,15252
back_bumper,moderate,crack,9.57,4811
hood,moderate,dent,9.11,7312
back_light,moderate,dent,12.67,2818
front_door,moderate,dent,14.37,7758
hood,moderate,lamp broken,17.95,17162
front_light,severe,glass shatter,19.14,14181
back_door,minor,lamp broken,3.53,6788
back_light,minor,crack,8.01,1737
hood,moderate,glass shatter,3.38,21354
front_door,minor,scratch,5.85,2024
back_bumper,moderate,scratch,12.37,1846
back_glass,minor,dent,18.16,5325
back_light,moderate,scratch,13.71,1192
back_glass,minor,glass shatter,10.82,13322
hood,minor,tire flat,1.71,3325
back_bumper,moderate,tire flat,23.65,3189
front_door,severe,glass shatter,4.94,23715
back_bumper,severe,tire flat,4.62,5426
hood,minor,crack,22.26,6796
front_bumper,moderate,tire flat,22.82,3440
front_bumper,moderate,lamp broken,4.52,8190
back_light,moderate,lamp broken,15.84,4371
front_door,minor,tire flat,5.74,2935
back_bumper,minor,lamp broken,18.4,5198
back_glass,severe,lamp broken,7.81,21733
hood,minor,crack,19.17,5705
back_bumper,moderate,lamp broken,6.79,8280
front_glass,minor,lamp broken,2.44,11566
hood,minor,crack,19.16,7145
front_light,moderate,crack,1.13,3257
back_light,severe,tire flat,14.57,3449
hood,minor,lamp broken,8.18,9173
back_glass,minor,tire flat,18.7,3767
hood,minor,lamp broken,19.69,9109
back_glass,minor,tire flat,10.89,3617
front_glass,minor,scratch,11.71,3020
hood,moderate,glass shatter,13.45,20832
front_bumper,minor,lamp broken,11.16,5128
front_light,severe,tire flat,20.77,3424
back_glass,moderate,glass shatter,4.11,23055
hood,moderate,dent,11.93,7212
back_glass,minor,lamp broken,23.84,10254
front_glass,minor,dent,14.72,6206
back_glass,minor,dent,24.78,5303
front_light,moderate,dent,4.41,2916
back_bumper,moderate,crack,6.17,5744
front_light,minor,dent,9.37,1935
front_glass,moderate,glass shatter,14.58,34056
front_glass,moderate,glass shatter,21.01,28054
back_glass,moderate,lamp broken,19.28,17053
back_glass,minor,tire flat,20.2,4492
front_glass,minor,glass shatter,10.49,18165
front_light,minor,tire flat,3.12,1189
back_bumper,moderate,lamp broken,19.52,7686
back_door,moderate,tire flat,5.62,4984
back_bumper,minor,lamp broken,19.01,4876
back_bumper,moderate,dent,13.76,5058
front_bumper,minor,scratch,17.93,1498
front_light,moderate,dent,15.56,2911
back_bumper,moderate,glass shatter,1.56,10546
front_glass,moderate,dent,8.62,10782
back_door,minor,dent,7.85,3409
back_door,minor,scratch,10.77,1530
front_door,minor,scratch,2.4,1695
front_door,minor,scratch,8.78,1740
back_door,minor,dent,19.05,4058
front_light,moderate,lamp broken,10.24,4614
back_bumper,minor,crack,10.77,3208
front_glass,minor,tire flat,22.27,5381
back_door,moderate,scratch,16.64,2584
front_glass,minor,glass shatter,16.26,16850
back_glass,minor,crack,5.04,5806
front_glass,minor,lamp broken,1.02,11803
front_bumper,severe,tire flat,1.01,6529
front_light,moderate,crack,21.15,3627
front_door,minor,tire flat,21.18,3135
back_glass,minor,tire flat,2.68,3474
back_door,moderate,scratch,24.97,3344
back_light,minor,lamp broken,20.25,3026
front_door,minor,tire flat,19.06,3271
back_light,severe,tire flat,9.2,2981
front_door,severe,dent,4.21,11904
front_light,severe,dent,17.14,4708
front_light,minor,glass shatter,19.9,4892
back_door,minor,lamp broken,20.97,7456
back_door,severe,crack,10.03,12739
front_glass,moderate,scratch,20.48,6218
back_door,minor,glass shatter,5.63,8141
back_bumper,moderate,crack,18.02,5058
front_bumper,minor,tire flat,24.52,2758
back_bumper,minor,crack,17.9,3435
back_bumper,severe,scratch,16.32,2844
front_bumper,minor,lamp broken,5.09,4617
back_glass,moderate,dent,18.9,8140
back_light,moderate,lamp broken,7.58,4709
back_bumper,moderate,tire flat,15.75,3684
front_light,severe,dent,16.38,5435
back_bumper,minor,crack,24.88,3213
hood,minor,glass shatter,13.41,11177
back_light,minor,dent,11.08,1445
back_bumper,minor,glass shatter,2.96,6626
back_bumper,minor,tire flat,17.55,2399
back_light,minor,scratch,8.46,667
back_door,minor,dent,20.39,4091
front_door,minor,crack,12.37,5728
back_bumper,minor,crack,6.68,2768
front_light,moderate,dent,14.89,2627
back_bumper,minor,dent,22.36,2939
back_glass,severe,dent,11.61,13307
front_glass,minor,dent,2.34,5871
front_glass,minor,glass shatter,19.05,17229
back_bumper,minor,glass shatter,20.08,7817
back_door,moderate,crack,17.22,6894
hood,moderate,crack,3.59,8410
back_door,moderate,lamp broken,5.65,11249
hood,minor,crack,12.55,6357
back_glass,minor,scratch,2.06,2003
front_glass,severe,lamp broken,19.1,32757
hood,minor,scratch,8.41,2089
front_door,minor,dent,16.78,3783
back_light,moderate,lamp broken,14.43,3844
front_door,severe,scratch,16.37,4557
back_door,minor,crack,12.42,4955
front_light,moderate,lamp broken,21.45,5579
front_door,minor,lamp broken,8.89,6397
back_bumper,minor,glass shatter,1.09,5912
back_light,moderate,glass shatter,6.74,6540
front_door,minor,tire flat,10.61,3491
back_bumper,minor,crack,9.59,3256
back_glass,minor,crack,16.15,7407
front_door,severe,dent,5.78,10010
back_light,moderate,crack,9.16,3009
back_glass,minor,scratch,21.23,2755
back_bumper,minor,tire flat,16.72,2345
front_door,minor,scratch,6.76,1950
back_glass,severe,lamp broken,24.94,29657
back_door,minor,dent,23.18,4380
back_light,minor,lamp broken,9.98,2670
back_light,moderate,dent,15.1,2749
front_bumper,minor,scratch,2.28,1357
back_glass,severe,lamp broken,22.26,24139
back_door,moderate,glass shatter,15.76,15002
front_glass,moderate,tire flat,9.98,9133
back_glass,moderate,crack,13.61,10837
front_light,minor,glass shatter,10.62,5041
back_bumper,minor,scratch,5.87,1266
front_glass,minor,scratch,22.33,3366
front_door,moderate,crack,4.22,7117
front_light,minor,lamp broken,15.02,3156
front_door,minor,glass shatter,11.38,10110
front_light,minor,crack,1.59,2020
front_bumper,minor,tire flat,22.64,2263
hood,minor,lamp broken,2.88,7970
back_light,minor,dent,9.65,1477
front_door,moderate,scratch,7.0,3198
front_bumper,moderate,scratch,24.95,2653
hood,minor,crack,8.19,6579
front_glass,moderate,glass shatter,19.19,26726
hood,moderate,scratch,6.46,3850
back_light,minor,glass shatter,15.09,3880
front_light,moderate,tire flat,9.18,1989
back_light,moderate,glass shatter,17.75,5902
front_light,minor,lamp broken,4.33,3360
front_bumper,minor,tire flat,20.45,2616
front_door,minor,scratch,17.46,1828
hood,minor,crack,1.56,6307
back_glass,severe,scratch,24.86,6802
front_glass,minor,glass shatter,10.38,18122
back_light,minor,glass shatter,14.67,3760
front_bumper,minor,dent,17.2,2736
front_light,minor,dent,2.67,1918
front_bumper,minor,scratch,16.83,1172
back_bumper,minor,crack,5.12,3466
front_glass,minor,glass shatter,3.66,17553
front_light,minor,tire flat,23.92,1607
back_glass,minor,scratch,20.63,2572
back_glass,moderate,lamp broken,8.45,14121
front_light,minor,crack,24.79,2255
front_glass,moderate,lamp broken,13.62,23647
front_light,minor,glass shatter,1.94,3792
front_light,moderate,crack,18.08,3487
back_glass,minor,glass shatter,22.6,15205
front_light,severe,glass shatter,5.4,11911
front_glass,severe,tire flat,6.75,15854
front_bumper,minor,tire flat,17.0,2050
back_light,minor,glass shatter,19.28,3466
front_door,moderate,dent,13.11,7477
front_glass,minor,glass shatter,5.98,15236
back_bumper,moderate,dent,17.21,4480
front_door,minor,tire flat,5.67,2694
front_bumper,moderate,dent,4.28,4969
front_light,minor,glass shatter,2.98,4525
front_light,minor,scratch,7.7,694
back_bumper,minor,lamp broken,8.06,4675
front_glass,minor,scratch,19.33,3421
back_glass,minor,glass shatter,6.2,11400
hood,minor,scratch,2.15,2207
hood,moderate,tire flat,16.84,5875
front_bumper,minor,glass shatter,1.11,7713
back_light,minor,scratch,6.72,562
front_glass,severe,dent,9.09,16938
back_door,severe,scratch,3.32,4781
back_glass,minor,tire flat,10.98,3637
front_door,moderate,crack,5.55,7455
hood,severe,glass shatter,3.9,30108
front_door,minor,crack,10.65,4743
front_glass,minor,scratch,2.58,3280
front_door,minor,dent,6.25,3782
front_light,moderate,dent,19.99,3435
back_glass,severe,crack,15.4,20035
front_glass,severe,tire flat,19.51,13569
back_glass,moderate,tire flat,17.5,8039
front_light,minor,dent,15.6,1843
front_glass,moderate,lamp broken,6.58,20947
back_bumper,minor,scratch,19.21,1085
back_light,minor,tire flat,6.85,981
back_glass,minor,crack,5.85,6069
back_bumper,severe,scratch,15.35,3608
front_door,minor,scratch,16.45,2014
hood,moderate,glass shatter,7.92,18029
front_door,minor,crack,13.94,5693
back_light,moderate,tire flat,6.34,2061
hood,minor,crack,16.11,5451
front_light,severe,dent,2.25,5144
back_light,minor,scratch,15.22,729
back_light,minor,scratch,11.23,646
back_glass,minor,tire flat,11.18,4237
front_bumper,moderate,crack,24.23,5798
front_light,severe,dent,9.63,4497
front_light,minor,glass shatter,15.63,4508
back_glass,minor,glass shatter,10.15,14827
front_bumper,minor,lamp broken,14.27,4796
front_glass,minor,glass shatter,7.8,18042
front_light,minor,dent,18.16,1658
back_light,minor,dent,13.02,1578
front_light,severe,glass shatter,23.57,14453
front_door,minor,glass shatter,16.39,11042
front_glass,severe,dent,3.99,20438
back_glass,moderate,scratch,23.97,4480
front_door,moderate,lamp broken,16.24,11993
back_bumper,minor,tire flat,11.18,1903
front_light,severe,dent,9.67,4945
back_bumper,moderate,tire flat,4.55,3420
back_glass,minor,crack,14.88,6884
back_glass,minor,dent,3.22,5399
front_glass,moderate,glass shatter,24.38,27995
back_light,minor,glass shatter,11.24,3962
hood,moderate,lamp broken,10.19,13898
front_glass,moderate,tire flat,3.62,8994
front_door,minor,scratch,6.03,1911
front_bumper,severe,dent,20.59,6992
back_door,minor,tire flat,11.0,2783
front_glass,minor,scratch,5.47,2722
front_light,minor,scratch,3.65,769
back_light,minor,scratch,19.0,737
back_light,severe,crack,21.92,4941
back_door,minor,tire flat,8.04,2820
front_bumper,minor,dent,15.06,2971
back_door,minor,dent,19.04,3391
back_bumper,minor,dent,20.0,2653
hood,severe,crack,12.36,15584
front_glass,minor,crack,22.36,10388
back_light,moderate,crack,10.08,2591
front_door,moderate,crack,1.07,8833
front_glass,moderate,tire flat,23.2,8321
back_door,minor,lamp broken,17.78,7640
front_door,moderate,glass shatter,16.81,17846
front_glass,minor,tire flat,24.67,6608
front_door,moderate,dent,21.96,8186
front_door,minor,tire flat,15.56,3168
back_door,minor,crack,23.36,5554
back_door,minor,tire flat,15.57,3217
hood,moderate,lamp broken,18.2,13198
front_light,minor,dent,17.15,1837
front_light,moderate,scratch,23.92,1376
hood,minor,scratch,5.09,2433
back_door,minor,dent,18.18,3553
front_door,moderate,glass shatter,6.29,15897
front_light,minor,tire flat,4.26,1338
front_light,moderate,dent,8.99,2672
back_door,minor,tire flat,22.84,3354
front_glass,moderate,tire flat,14.49,10241
back_light,minor,scratch,7.98,569
front_door,moderate,tire flat,5.52,5853
front_door,moderate,scratch,23.9,3300
back_bumper,minor,crack,13.85,3601
front_glass,moderate,crack,20.14,16856
back_glass,moderate,lamp broken,15.18,14129
back_bumper,moderate,lamp broken,8.58,8446
front_bumper,minor,scratch,11.94,1348
back_glass,moderate,tire flat,20.23,7567
front_door,minor,crack,17.53,4834
front_light,moderate,tire flat,12.88,2439
front_glass,severe,dent,9.0,20375
back_light,severe,tire flat,6.4,3180
back_glass,moderate,glass shatter,8.18,24229
back_glass,minor,dent,9.1,5504
front_door,minor,glass shatter,13.67,9958
back_light,moderate,tire flat,10.45,1692
back_bumper,minor,tire flat,16.71,2156
front_light,minor,tire flat,22.53,1321
back_light,moderate,tire flat,9.69,2085
back_door,moderate,tire flat,21.6,5005
front_glass,moderate,tire flat,23.22,8520
front_light,severe,scratch,3.82,2024
front_door,minor,lamp broken,4.57,7538
back_light,minor,dent,10.52,1379
back_glass,moderate,tire flat,19.62,8144
back_door,moderate,glass shatter,16.61,15585
front_light,minor,crack,3.8,1849
hood,minor,scratch,14.75,2303
front_bumper,moderate,tire flat,20.06,3598
front_light,moderate,tire flat,8.16,2005
front_door,moderate,dent,21.69,7271
front_glass,minor,tire flat,14.35,5622
hood,minor,glass shatter,21.09,13507
back_door,severe,scratch,22.54,4324
back_glass,moderate,dent,20.21,8177
back_glass,minor,lamp broken,4.87,9281
back_bumper,severe,dent,13.15,6830
hood,minor,scratch,23.69,2007
front_bumper,severe,dent,13.47,8567
hood,minor,glass shatter,12.77,12153
front_door,minor,lamp broken,6.04,6297
back_bumper,minor,scratch,4.4,1254
back_light,moderate,scratch,6.18,1018
back_glass,moderate,tire flat,2.78,6109
front_glass,severe,tire flat,10.6,12807
front_bumper,minor,tire flat,17.67,2378
back_door,moderate,tire flat,24.89,5571
back_light,minor,tire flat,16.78,1281
back_glass,moderate,glass shatter,8.59,24100
front_glass,severe,dent,6.94,17182
hood,moderate,dent,10.76,7890
back_door,severe,crack,19.67,11608
back_light,minor,crack,10.05,2028
front_glass,moderate,dent,3.96,11431
front_bumper,moderate,lamp broken,12.75,8839
front_bumper,minor,lamp broken,3.38,4365
front_door,minor,glass shatter,20.35,11529
hood,moderate,lamp broken,21.39,15401
back_glass,minor,crack,13.33,5871
back_glass,minor,scratch,18.65,2115
front_door,moderate,tire flat,17.28,5352
front_light,minor,scratch,9.5,769
front_bumper,severe,crack,13.49,10291
back_light,moderate,crack,3.09,2713
front_door,moderate,dent,2.84,6082
back_door,moderate,scratch,3.03,2549
front_light,severe,dent,11.18,4710
back_glass,minor,glass shatter,17.44,14624
hood,minor,tire flat,1.33,3367
back_bumper,minor,tire flat,13.82,1987
hood,moderate,tire flat,15.58,7499
hood,minor,scratch,9.81,1968
front_door,minor,dent,10.1,3939
back_door,severe,crack,6.99,12333
back_door,minor,crack,8.05,4212
front_glass,severe,scratch,23.3,10013
hood,severe,dent,22.42,15443
back_bumper,minor,crack,12.05,3052
back_door,minor,dent,18.34,3834
back_bumper,minor,dent,5.74,2596
back_glass,minor,glass shatter,12.7,12240
front_bumper,minor,scratch,9.98,1246
back_glass,moderate,lamp broken,3.61,14829
front_light,minor,scratch,18.93,694
back_light,minor,dent,1.97,1361
front_door,minor,dent,5.78,3981
front_bumper,minor,dent,14.2,3238
back_glass,moderate,crack,19.73,10876
front_glass,minor,scratch,3.59,2598
back_glass,minor,crack,19.42,6197
front_door,severe,glass shatter,18.7,28458
front_bumper,minor,crack,19.26,3452
back_glass,minor,tire flat,6.99,4342
front_bumper,minor,tire flat,20.69,2177
back_door,moderate,tire flat,15.67,4595
back_glass,minor,scratch,10.63,2188
back_light,minor,scratch,15.8,587
back_bumper,minor,glass shatter,8.35,6922
back_light,minor,scratch,12.5,658
back_bumper,minor,crack,9.73,3621
front_glass,minor,scratch,2.14,2597
back_bumper,moderate,tire flat,6.09,3316
back_door,minor,glass shatter,23.76,9925
front_bumper,minor,dent,1.33,2841
back_glass,minor,crack,20.44,7220
hood,minor,lamp broken,16.61,8334
front_glass,moderate,dent,4.13,12155
back_door,moderate,dent,22.89,7017
back_light,moderate,scratch,23.21,1007
hood,minor,lamp broken,18.41,10487
back_light,moderate,lamp broken,2.05,3788
hood,minor,tire flat,22.05,4502
hood,moderate,crack,11.76,10842
front_glass,minor,dent,13.57,8066
back_bumper,moderate,scratch,17.72,1800
back_bumper,minor,lamp broken,24.34,4540
front_glass,moderate,glass shatter,21.89,35871
back_glass,moderate,glass shatter,10.22,24234
front_glass,minor,lamp broken,5.42,10980
back_light,moderate,lamp broken,22.1,4962
front_light,moderate,lamp broken,13.6,4977
back_light,moderate,crack,14.25,2743
back_bumper,minor,lamp broken,1.94,4032
front_bumper,minor,scratch,19.97,1415
back_light,minor,scratch,1.03,593
front_door,minor,crack,17.93,5259
back_glass,moderate,glass shatter,8.08,25317
back_bumper,minor,crack,24.17,3105
back_bumper,moderate,lamp broken,21.83,9277
back_door,moderate,tire flat,10.17,5145
hood,moderate,scratch,6.3,3369
front_glass,minor,scratch,18.52,3178
back_glass,minor,glass shatter,5.36,11930
back_glass,moderate,scratch,23.64,3760
front_bumper,minor,dent,22.25,3376
back_light,minor,dent,11.23,1449
front_glass,moderate,dent,4.29,12191
back_bumper,minor,lamp broken,10.22,4145
back_bumper,severe,tire flat,4.17,5716
front_bumper,severe,scratch,15.39,3851
back_bumper,minor,dent,20.64,3044
back_door,minor,scratch,19.23,1962
back_glass,minor,crack,4.71,5452
front_bumper,minor,tire flat,1.51,1890
hood,minor,crack,22.27,6263
back_bumper,minor,scratch,11.25,1054
front_bumper,severe,scratch,17.43,3778
back_door,minor,glass shatter,3.64,8316
front_bumper,minor,crack,9.01,3407
back_door,moderate,dent,5.27,6239
back_glass,minor,tire flat,22.43,4566
front_bumper,moderate,crack,7.51,5876
front_door,moderate,crack,18.07,7580
back_bumper,moderate,scratch,4.52,1701
front_light,moderate,tire flat,24.43,2649
back_door,minor,lamp broken,18.44,6293
front_door,minor,scratch,10.24,1723
front_glass,moderate,glass shatter,10.93,32544
front_door,moderate,scratch,16.69,2893
front_glass,minor,lamp broken,13.81,12804
back_light,minor,glass shatter,18.16,3906
back_light,minor,tire flat,9.68,1035
back_bumper,moderate,crack,23.98,6409
back_bumper,minor,crack,21.38,3660
back_glass,minor,crack,21.05,6863
front_glass,minor,scratch,6.39,3281
back_door,moderate,tire flat,10.06,4243
front_glass,minor,crack,3.54,8499
front_light,moderate,lamp broken,1.72,4790
back_door,minor,scratch,14.66,1882
back_glass,minor,scratch,4.36,2291
front_bumper,minor,glass shatter,9.1,8039
back_bumper,minor,crack,2.44,3224
back_glass,minor,lamp broken,10.51,9158
